"Vx","Vy","Yaw","YawRate","latitude","longitude","el","x_gps_cg","y_gps_cg","y","nu","r","dPsi","dy","mu","h","r_d","kappa","u_del","uUser","uOpt","blendingRatio","uOut","M"
-0.0017296276388289644,0.0014812835778915954,-1.6117776787067442,-0.0017200000000000002,42.30215891099005,-83.69749779835523,276.6534423828125,0.99,0,0.21590130585343556,0.0014812835778915954,-0.0017200000000000002,2.4045821103780316,0.0015304799106806506,-0.0017296276388289644,8,1.2213905558366687e-05,0.005363473505145047,0.0,0.0,-0.5303153594520014,1,-0.5303153594520014,7.817543991187677
-0.0018306893741698753,-0.00043932576762243953,-1.611819678704868,-0.0037600000000000003,42.30215891004497,-83.69749779824453,276.65350341796875,0.99,0,0.21590130585343556,0.0024217472550090917,-0.0007700000000000001,2.1621881424615315,0.0024705902869247933,-0.0017296945042027132,8,1.596181145363547e-05,0.005363473505145047,-0.021212614378080055,0.0,-0.5303153594520014,1,-0.5303153594520014,6.933269653117915
-0.0018306893741698753,-0.00043932576762243953,-1.611819678704868,-0.0037600000000000003,42.30215891004497,-83.69749779824453,276.65350341796875,0.99,0,0.21587015997742012,-0.00043932576762243953,-0.0037600000000000003,-2.9349132091191663,-0.00038634402593886764,-0.0018306893741698753,8,1.0099611291190033e-05,0.0053645267289665005,0.0,0.0,0.5303153594520014,1,0.5303153594520014,9.230243742393878
-0.0021306828952369905,0.003438672915466717,-1.611821678716817,0.00016,42.302158907824555,-83.6974977993752,276.6536560058594,0.99,0,0.21584023457816967,0.0008863766323258114,-0.0024200000000000003,2.6823581726250447,0.0009416559207798087,-0.0019306259488089325,8,1.1398517734613448e-05,0.005365579951241737,0.04242522875616011,0.0,-0.5303153594520014,1,-0.5303153594520014,8.642968499930602
-0.002530711373149976,0.0029300072784612225,-1.6118356787249013,-0.00035000000000000005,42.30215891095804,-83.69749779990073,276.6536865234375,0.99,0,0.21585270483937216,-0.0011676527799777923,-0.00459,-2.73834033918596,-0.0010940494088836669,-0.002531719607382362,8,1.496224372778238e-05,0.005366633174638943,-0.04242522875616011,0.0,0.5303153594520014,1,0.5303153594520014,8.578077238375169
-0.0028297611633836387,-0.002251487385693898,-1.6118346787238904,-0.0054800000000000005,42.30215891141243,-83.69749779910097,276.6536865234375,0.99,0,0.21571651823817925,0.0032261101562575025,-5e-05,2.2260276558906207,0.0033006428399573345,-0.002630661153440842,8,2.2326591430433073e-05,0.005363473505145047,0.04242522875616011,0.0,-0.5303153594520014,1,-0.5303153594520014,7.408962642785022
-0.002127822653237096,0.007870930645477286,-1.6118006787345012,0.004940000000000001,42.302158913608615,-83.69749780058008,276.65380859375,0.99,0,0.21572998951695035,0.004888188305018878,0.00193,2.0029401069145645,0.004956178107208032,-0.0024278721946337724,8,2.9261940765176006e-05,0.005361367057089569,-0.04242522875616011,0.0,-0.5303153594520014,1,-0.5303153594520014,6.395189814080096
-0.0016251361755184734,0.0009029455136038032,-1.61183167877092,-0.0018000000000000002,42.30215891421598,-83.69749780364523,276.65399169921875,0.99,0,0.2156915205246355,0.0020802785359164233,-0.0008100000000000001,2.2891112717379176,0.0021349650521291274,-0.0019269267985843846,8,1.5199685412852395e-05,0.005360313834808249,0.0,0.0,-0.5303153594520014,1,-0.5303153594520014,7.369263981423331
-0.0016251361755184734,0.0009029455136038032,-1.61183167877092,-0.0018000000000000002,42.30215891448398,-83.69749780297323,276.65399169921875,0.99,0,0.21540727253138606,0.0009029455136038032,-0.0018000000000000002,2.6055965061233106,0.0009494553906347476,-0.0016251361755184734,8,9.963582113001202e-06,0.005359260608767986,0.0,0.0,-0.5303153594520014,1,-0.5303153594520014,8.161625891626658
-0.0008242478549046922,0.0026617149887093725,-1.6118356787752361,7.000000000000001e-05,42.30215891464973,-83.69749780422926,276.65386962890625,0.99,0,0.21537414750418477,0.0026617149887093725,7.000000000000001e-05,1.842240695157402,0.0026843898504529534,-0.0008242478549046922,8,1.4933126702633661e-05,0.005359260608767986,0.0,0.0,-0.5303153594520014,1,-0.5303153594520014,5.752438172234958
0.0006719418973769993,-0.0025078911644373127,-1.611838678778053,-0.00557,42.30215891377876,-83.69749780565657,276.6535339355469,0.99,0,0.21535160348103238,-0.0025078911644373127,-0.00557,-1.3378752181274924,-0.002526237184185577,0.0006719418973769993,8,1.3914506666353144e-05,0.005359260608767986,0.0,0.0,0.5303153594520014,1,0.5303153594520014,4.294891994265941
0.004154943583360401,0.00385895402109671,-1.6118446787943093,-0.00099,42.302158912623796,-83.69749780437698,276.65350341796875,0.99,0,0.21522916515856066,0.00385895402109671,-0.00099,0.7196125270827212,0.0037374184196121126,0.004154943583360401,8,3.0395901627740943e-05,0.005360313834808249,0.04242522875616011,0.0,-0.5303153594520014,1,-0.5303153594520014,2.447583388293949
0.01702657597838347,0.011918028636683311,-1.6116986787803622,0.0039000000000000003,42.302158901362596,-83.69749780227812,276.65313720703125,0.99,0,0.21531574511424023,0.011918028636683311,0.0039000000000000003,0.5819792762328855,0.011424107557000967,0.01702657597838347,8,0.00011149232796101233,0.0053645267289665005,-0.04242522875616011,0.0,-0.5303153594520014,1,-0.5303153594520014,1.9104377620900646
0.06675282333120915,0.04093407374430465,-1.610595678669819,0.02272,42.302158883515396,-83.69749779663495,276.6526184082031,0.99,0,0.2156691597810199,0.03648798773632865,0.021660000000000002,0.5813696483215951,0.03500906004820552,0.05227408899104708,8,0.00034265541913290176,0.0053750589627986406,0.0,0.0,-0.5303153594520014,1,-0.5303153594520014,1.9832131266622792
