Vx,Vy,Yaw,YawRate,latitude,longitude,el,x_gps_cg,y_gps_cg,y,dy,mu,nu,dPsi,r,h,r_d,kappa,uUser,uOpt,blendingRatio,uOut,M
2.369763535,-0.018776431,-1.567286664,0.00127,42.30188248,-83.69753693,275.7281799,0.99,0,0.482841153,-0.011398759,2.366219688,-0.005839093,-0.004817291,0.01255,8,0.001493856,0.000631324,0,-0.082858533,1,-0.082858533,0.965130278
2.374801393,-0.020941323,-1.567165663,0.00117,42.30188161,-83.69753691,275.7265015,0.99,0,0.483204768,-0.024267667,2.369763535,-0.018776431,-0.010240401,0.00127,8,-0.001601709,-0.000675873,0,-0.037034488,0.038924472,-0.001441548,0.818550432
2.379913738,-0.022876798,-1.567037662,0.00203,42.3018803,-83.69753689,275.7246094,0.99,0,0.484664028,-0.025624435,2.374801393,-0.020941323,-0.010789928,0.00117,8,-0.00522611,-0.002200566,0,-0.03259514,0.025730222,-0.00083868,0.804025514
2.386685455,-0.02784279,-1.566918661,0.00098,42.30187943,-83.69753688,275.7228699,0.99,0,0.485891373,-0.031317374,2.386685455,-0.02784279,-0.013121185,0.00098,8,-0.00765319,-0.003206401,0,-0.017898739,0,0,0.748388497
2.391705033,-0.029532353,-1.566842661,-0.00107,42.30187814,-83.69753684,275.7188721,0.99,0,0.487433528,-0.031427607,2.391705033,-0.029532353,-0.013139628,-0.00107,8,-0.011292986,-0.00472137,0,-0.016392306,0,0,0.744627526
2.391850493,-0.02359517,-1.56669266,0.00671,42.30187728,-83.69753681,275.7158508,0.99,0,0.489799507,-0.023923446,2.391850493,-0.02359517,-0.010001746,0.00671,8,-0.013675087,-0.005717089,0,-0.038313694,0.415378118,-0.01591467,0.832727786
2.395831667,-0.033793035,-1.566629659,-0.00289,42.30187642,-83.69753678,275.7129517,0.99,0,0.493379874,-0.032031434,2.395831667,-0.033793035,-0.01336872,-0.00289,8,-0.012371069,-0.005163067,0,-0.01358142,0,0,0.743408761
2.400267829,-0.019076346,-1.566333657,0.00871,42.30187511,-83.69753671,275.7075195,0.99,0,0.497359871,-0.021669068,2.397526387,-0.024891605,-0.00903773,0.00373,8,-0.010098283,-0.004211732,0,-0.044362569,0.775111843,-0.034385953,0.865320055
2.406586481,-0.026735188,-1.566324656,-0.00221,42.30187381,-83.69753664,275.7025452,0.99,0,0.502466903,-0.014349563,2.400267829,-0.019076346,-0.005978164,0.00871,8,-0.006694703,-0.00278906,0,-0.071652685,1,-0.071652685,0.95778665
2.412285471,-0.018830478,-1.566140654,0.00067,42.30187294,-83.69753657,275.6974182,0.99,0,0.506441596,-0.021459559,2.406586481,-0.026735188,-0.008916579,-0.00221,8,-0.00443434,-0.001842471,0,-0.04599524,0.748478384,-0.034426443,0.88238773
2.416772848,-0.017372807,-1.566021653,0.0028,42.30187163,-83.69753649,275.6911011,0.99,0,0.513545421,-0.011084751,2.416772848,-0.017372807,-0.004586489,0.0028,8,-0.000421096,-0.000174234,0,-0.083464473,1,-0.083464473,1.009574119
2.419737571,-0.017818084,-1.565828652,0.00374,42.30187076,-83.69753644,275.6871643,0.99,0,0.517685481,-0.01114026,2.419737571,-0.017818084,-0.004603804,0.00374,8,0.001731693,0.000715634,0,-0.084911995,1,-0.084911995,1.020682231
2.421682033,-0.02213505,-1.56570465,0.00117,42.30186945,-83.69753636,275.6801758,0.99,0,0.524153162,-0.015672683,2.421682033,-0.02213505,-0.006471592,0.00117,8,0.00497548,0.00205447,0,-0.071652685,1,-0.071652685,0.988013891
2.42616961,-0.020109363,-1.565465649,0.00407,42.30186857,-83.69753631,275.6757813,0.99,0,0.529613238,-0.013664313,2.42616961,-0.020109363,-0.005631888,0.00407,8,0.00714465,0.002944726,0,-0.080496316,1,-0.080496316,1.024776994
2.433260228,-0.017743001,-1.565228646,0.00185,42.30186726,-83.69753623,275.6688232,0.99,0,0.535997616,-0.019545964,2.42863676,-0.024852595,-0.008047787,-0.00238,8,0.010406188,0.004284561,0,-0.061540718,1,-0.061540718,0.973627845
2.436671725,-0.01479984,-1.565174645,0.00468,42.30186639,-83.69753616,275.6636963,0.99,0,0.539962504,-0.009966211,2.436671725,-0.01479984,-0.004090028,0.00468,8,0.010186373,0.004180368,0,-0.095943632,1,-0.095943632,1.087239363
2.439243512,-0.025154316,-1.565160644,-0.00494,42.30186509,-83.69753608,275.6575928,0.99,0,0.546042682,-0.021633552,2.439243512,-0.025154316,-0.008868604,-0.00494,8,0.008515262,0.003490758,0,-0.057530577,1,-0.057530577,0.975634398
2.441831583,-0.020259381,-1.565032643,0.00062,42.30186423,-83.69753604,275.6539001,0.99,0,0.549657656,-0.017173513,2.441831583,-0.020259381,-0.007032862,0.00062,8,0.007424053,0.003040258,0,-0.075232216,1,-0.075232216,1.03670121
2.444367373,-0.014669466,-1.564850642,0.0057,42.30186335,-83.697536,275.6506042,0.99,0,0.554836168,-0.012075297,2.444367373,-0.014669466,-0.004939981,0.0057,8,0.005761099,0.002356845,0,-0.095270366,1,-0.095270366,1.107495104
2.446897946,-0.020886053,-1.564772641,-0.0012,42.30186202,-83.69753594,275.64505,0.99,0,0.55808498,-0.018598831,2.446897946,-0.020886053,-0.00760078,-0.0012,8,0.004631819,0.001892866,0,-0.073470503,1,-0.073470503,1.043362663
2.452793831,-0.023538956,-1.564588639,-0.0033,42.30186114,-83.69753589,275.6408997,0.99,0,0.562633364,-0.021158317,2.452793831,-0.023538956,-0.008625921,-0.0033,8,0.003401302,0.001386641,0,-0.067017318,1,-0.067017318,1.029193302
2.459188807,-0.019856953,-1.564384637,0.00107,42.30185981,-83.69753582,275.6355896,0.99,0,0.565931016,-0.013366222,2.454367477,-0.015744623,-0.005445808,0.00553,8,0.002657222,0.001082628,0,-0.096482245,1,-0.096482245,1.12654227
2.462795053,-0.018195464,-1.564261636,0.00289,42.30185892,-83.69753577,275.6323242,0.99,0,0.571140836,-0.017559641,2.459188807,-0.019856953,-0.007140248,0.00107,8,0.001538372,0.00062554,0,-0.083823548,1,-0.083823548,1.094561353
2.465736248,-0.017519343,-1.564134635,0.00279,42.30185714,-83.69753568,275.6254883,0.99,0,0.574409389,-0.014707138,2.465736248,-0.017519343,-0.005964488,0.00279,8,0.000790825,0.000320718,0,-0.095090828,1,-0.095090828,1.134161306
2.467809222,-0.015532292,-1.564012634,0.00316,42.30185626,-83.69753562,275.6220093,0.99,0,0.579763794,-0.012409122,2.467809222,-0.015532292,-0.005028318,0.00316,8,-0.000944241,-0.000382616,0,-0.103423198,1,-0.103423198,1.168722592
2.473250872,-0.012511782,-1.563720631,0.00321,42.30185538,-83.69753557,275.6185608,0.99,0,0.584830888,-0.013472746,2.473250872,-0.012511782,-0.005448156,0.00321,8,-0.002450964,-0.000991125,0,-0.100544985,1,-0.100544985,1.167287117
2.475574614,-0.013248593,-1.563675631,0.00459,42.30185405,-83.69753548,275.612915,0.99,0,0.591607581,-0.008548646,2.475574614,-0.013248593,-0.003453154,0.00459,8,-0.004744757,-0.001916601,0,-0.116245762,1,-0.116245762,1.225480273
2.480375847,-0.015656457,-1.563513628,0.00255,42.30185316,-83.69753541,275.6088562,0.99,0,0.595823498,-0.012372718,2.478390387,-0.01785496,-0.004992131,-0.00024,8,-0.006290498,-0.002538073,0,-0.102059834,1,-0.102059834,1.187771894
2.481952729,-0.016959818,-1.563285626,0.0049,42.30185182,-83.69753532,275.6036682,0.99,0,0.602408482,-0.008983968,2.480375847,-0.015656457,-0.003621954,0.00255,8,-0.009196382,-0.003707583,0,-0.113178193,1,-0.113178193,1.232525558
2.487894122,-0.021765721,-1.563095625,0.0046,42.30185092,-83.69753527,275.6008301,0.99,0,0.606554605,-0.014481033,2.484513722,-0.022904654,-0.005828303,0.00521,8,-0.011135402,-0.004481734,0,-0.097357491,1,-0.097357491,1.188992504
2.487825217,-0.020589974,-1.562922624,0.00531,42.30184958,-83.69753519,275.5965271,0.99,0,0.612751468,-0.009495077,2.487825217,-0.020589974,-0.003816496,0.00531,8,-0.014044181,-0.00564497,0,-0.112370274,1,-0.112370274,1.244901745
2.491088039,-0.020354809,-1.562700623,0.00189,42.30184868,-83.69753514,275.5936584,0.99,0,0.618010049,-0.007182709,2.491088039,-0.020354809,-0.00288327,0.00189,8,-0.015993491,-0.006420069,0,-0.118159135,1,-0.118159135,1.269990935
2.492597019,-0.015344256,-1.562650622,0.00178,42.30184779,-83.69753508,275.5901489,0.99,0,0.62462299,0.000516257,2.492597019,-0.015344256,0.000207112,0.00178,8,-0.016728203,-0.006711027,0,-0.141320455,1,-0.141320455,1.352521727
2.492016013,-0.013379351,-1.56258762,-0.00166,42.30184648,-83.69753499,275.5853882,0.99,0,0.629146079,0.004078281,2.492016013,-0.013379351,0.001636516,-0.00166,8,-0.01371668,-0.005504171,0,-0.152537782,1,-0.152537782,1.393053608
2.501422642,-0.009921032,-1.562432617,0.0022,42.30184517,-83.6975349,275.5797729,0.99,0,0.636457568,0.007277423,2.494793865,-0.011762977,0.002917015,-0.00199,8,-0.00923567,-0.003701936,0,-0.164714256,1,-0.164714256,1.441518698
2.505992945,-0.009212099,-1.562281616,0.00409,42.30184428,-83.69753484,275.5758362,0.99,0,0.641314495,0.011462459,2.505992945,-0.009212099,0.004574004,0.00409,8,-0.006212618,-0.002479088,0,-0.18163524,1,-0.18163524,1.501780323
2.510305363,-0.012083549,-1.562051615,0.00397,42.30184294,-83.69753475,275.5701904,0.99,0,0.649044399,0.009737207,2.510305363,-0.012083549,0.003878858,0.00397,8,-0.00085042,-0.000338768,0,-0.17888046,1,-0.17888046,1.504482569
2.513667682,-0.012840506,-1.561902613,0.00453,42.30184204,-83.69753469,275.5667725,0.99,0,0.65517881,0.009280562,2.513667682,-0.012840506,0.003692,0.00453,8,0.002299364,0.000914733,0,-0.179884748,1,-0.179884748,1.517346219
2.516174779,-0.013337424,-1.561728612,0.00427,42.30184069,-83.6975346,275.5615234,0.99,0,0.662623543,0.008492997,2.516174779,-0.013337424,0.00337532,0.00427,8,0.007063594,0.002807236,0,-0.180243824,1,-0.180243824,1.528373595
