"Vx","Vy","Yaw","YawRate","latitude","longitude","el","x_gps_cg","y_gps_cg","y","nu","r","dPsi","dy","mu","h","r_d","kappa","u_del","uUser","uOpt","blendingRatio","uOut","M"
-0.009372485445199872,0.0012723980853544211,-1.6128832072540735,0.0040100000000000005,42.30125018928795,-83.69750465747886,274.0994567871094,0.99,0,0.32711414223048135,-0.002370773797177101,0.00033000000000000005,-2.9273693081275844,-0.0020552403036486855,-0.00937249353766344,8,-1.4399573661751622e-05,-0.0014894536023962691,0.0,0.0,0.5303153594520014,1,0.5303153594520014,8.903963173011602
-0.009472428776098685,-0.00362932063795747,-1.6129022072623336,-0.0009400000000000001,42.30125019101035,-83.69750465809234,274.0994567871094,0.99,0,0.32711625358613716,0.0012723980853544211,0.0040100000000000005,2.9731257783024185,0.0015859107734636176,-0.009372485445199872,8,-1.4085712804744308e-05,-0.00148921829183887,0.021212614378080055,0.0,-0.5303153594520014,1,-0.5303153594520014,9.847237158331644
-0.009272391064834504,-0.005864806248282825,-1.6129202072549162,-0.0032,42.30125018876356,-83.69750465757775,274.0995178222656,0.99,0,0.3270358072320517,-0.0028661018327986454,-0.00017,-2.878386217510819,-0.002549961105458565,-0.009372399120339908,8,-1.4600198113731555e-05,-0.001489688909545898,-0.04242522875616011,0.0,0.5303153594520014,1,0.5303153594520014,8.801385508442705
-0.009173563531288575,-0.0039021289073665165,-1.612872207249504,-0.0013200000000000002,42.30125019041521,-83.6975046570322,274.0994567871094,0.99,0,0.3270191296673795,-0.002399240627410816,0.00030000000000000003,-2.9219082423861416,-0.002087236967632041,-0.009272555552764263,8,-1.4268128241596085e-05,-0.001489688909545898,0.04242522875616011,0.0,0.5303153594520014,1,0.5303153594520014,8.731878124636507
-0.009273597092044932,-0.0009924274504395424,-1.6128572072394487,0.0016200000000000001,42.30125018972042,-83.69750465621301,274.09942626953125,0.99,0,0.32716290010611043,-0.0039021289073665165,-0.0013200000000000002,-2.772933499364699,-0.003592477183414621,-0.009173563531288575,8,-1.4850702528286584e-05,-0.001489688909545898,0.0,0.0,0.5303153594520014,1,0.5303153594520014,8.332953189384574
-0.009273672378741436,0.0009680414849677996,-1.612828207229935,0.0036000000000000003,42.30125018910107,-83.69750465543612,274.0993957519531,0.99,0,0.3272459507786848,-0.0009924274504395424,0.0016200000000000001,-3.068488965332783,-0.0006811980109618332,-0.009273597092044932,8,-1.3891461927767568e-05,-0.0014894536023962691,0.0,0.0,0.5303153594520014,1,0.5303153594520014,9.100741009350763
-0.009274575823054928,-0.006001046134488987,-1.6128802072246904,-0.00354,42.30125018659626,-83.69750465511967,274.0995788574219,0.99,0,0.3272583673642294,0.000542063275964671,0.00317,3.049698576261905,0.0008524420667950592,-0.009273594495812847,8,-1.3840536953552828e-05,-0.0014899242211745775,0.0,0.0,-0.5303153594520014,1,-0.5303153594520014,10.259481987923706
-0.009274765526175992,0.00011785874048262247,-1.612804207232542,0.0026400000000000004,42.301250186397404,-83.69750465528016,274.09967041015625,0.99,0,0.32731630838736114,0.00011785874048262247,0.0026400000000000004,3.095432352173018,0.0004280085016879869,-0.009274765526175992,8,-1.3802352551164285e-05,-0.0014880417459451464,-0.04242522875616011,0.0,-0.5303153594520014,1,-0.5303153594520014,10.165175485381855
-0.00917578971295357,-0.0006226616047647524,-1.6128092072324716,0.0017900000000000001,42.30125018796922,-83.6975046557102,274.099609375,0.99,0,0.32732008349628444,-0.0015844938407031765,0.0008200000000000001,-3.0059153067999578,-0.001272812506867486,-0.009275655008084768,8,-1.4000282023029509e-05,-0.0014878064376850487,0.0,0.0,0.5303153594520014,1,0.5303153594520014,9.235300948037283
-0.00917578971295357,-0.0006226616047647524,-1.6128092072324716,0.0017900000000000001,42.30125018773621,-83.69750465439084,274.0994873046875,0.99,0,0.32733656312510717,-0.0006226616047647524,0.0017900000000000001,-3.107296028625881,-0.00031536052651138705,-0.00917578971295357,8,-1.3689687620980696e-05,-0.0014885123658723446,0.04242522875616011,0.0,0.5303153594520014,1,0.5303153594520014,9.522626005723803
