"Vx","Vy","Yaw","YawRate","latitude","longitude","el","x_gps_cg","y_gps_cg","y","nu","r","dPsi","dy","mu","h","r_d","kappa","u_del","uUser","uOpt","blendingRatio","uOut","M"
-0.0006954532137299057,0.0006262215117278408,-1.624392631131796,0.0008500000000000001,42.302075373913524,-83.6974980687586,276.4139404296875,0.99,0,0.25512341973865127,-0.002690946091289171,-0.0021100000000000003,-1.6507427820434062,-0.0026837474155087114,-8.683607524198458e-05,8,3.931119167629649e-06,0.001460108759497342,0.0,0.0,0.5303153594520014,1,0.5303153594520014,4.97569710312775
-0.00028897100885320003,-0.0006846541006274545,-1.6244116311215633,-0.00018,42.30207537594631,-83.69749806778353,276.4139099121094,0.99,0,0.2552289054900802,0.0006262215117278408,0.0008500000000000001,2.3608459755307236,0.0006586581246982099,-0.0006954532137299057,8,1.3656197870860763e-06,0.0014592349050362966,0.021212614378080055,0.0,-0.5303153594520014,1,-0.5303153594520014,7.839810509491114
-9.558592908478467e-05,-0.003716646803489441,-1.6244476311224894,-0.00355,42.30207537599689,-83.69749806785971,276.4139099121094,0.99,0,0.25528918058350736,-0.0006846541006274545,-0.00018,-2.017882635981721,-0.0006700962826858498,-0.00028897100885320003,8,1.083979057415581e-06,0.0014586492534578363,-0.04242522875616011,0.0,0.5303153594520014,1,0.5303153594520014,6.159735230523131
-0.0008800549295727026,-0.0018798125452840684,-1.6244186311003173,-0.00097,42.302075380019446,-83.69749806576654,276.41387939453125,0.99,0,0.25537994531770575,0.002070143361057043,0.0029100000000000003,1.752037016523899,0.0020907825191370986,-0.0004823625943311942,8,3.0992519978144497e-06,0.0014580611563082425,0.04242522875616011,0.0,-0.5303153594520014,1,-0.5303153594520014,5.954227856676582
-0.0008822224328402048,-0.003611363041500476,-1.6244486311049524,-0.00282,42.302075379736145,-83.69749806617547,276.4140625,0.99,0,0.25548808852054045,-0.007494021699073867,-0.006450000000000001,-1.6686472940809063,-0.007467541933947642,-0.0003757387958175035,8,1.0933814302272498e-05,0.0014571744683745166,-0.04242522875616011,0.0,0.5303153594520014,1,0.5303153594520014,5.161040538649476
-0.0012733223598282858,-0.003049871211077312,-1.6244676311082342,-0.00184,42.30207537994435,-83.69749806644374,276.4140930175781,0.99,0,0.25538268984515533,-0.003611363041500476,-0.00282,-1.8581319563341747,-0.003565149712592623,-0.0008822224328402048,8,5.4182359154205375e-06,0.0014574706330490138,0.04242522875616011,0.0,0.5303153594520014,1,0.5303153594520014,5.518403008388646
-0.0007756534396141934,0.001219098902884871,-1.6244556311152847,0.00236,42.302075378699534,-83.6974980671075,276.4143371582031,0.99,0,0.25534839838011375,-0.004887257898255578,-0.0040100000000000005,-1.7768228432075572,-0.0048444491509115,-0.0007800349264668277,8,7.213190503501883e-06,0.0014574706330490138,0.0,0.0,0.5303153594520014,1,0.5303153594520014,5.3223791250724055
-0.0006734756856790026,-0.0015318845652872058,-1.6244606311172243,-0.00032,42.302075377398495,-83.69749806733971,276.4144592285156,0.99,0,0.2552995970530407,0.001219098902884871,0.00236,2.0897009443013603,0.001254728967544132,-0.0007756534396141934,8,2.1063790355880917e-06,0.0014577661982157519,0.0,0.0,-0.5303153594520014,1,-0.5303153594520014,7.155521509846123
-0.0002845430184219384,0.00028357571483751177,-1.6244756311356534,0.001,42.30207537358896,-83.69749806910336,276.4147644042969,0.99,0,0.25514771441490647,-0.0015318845652872058,-0.00032,-2.032751067404102,-0.0014979917837674576,-0.0006734756856790026,8,2.442360064318707e-06,0.0014595268085399894,-0.04242522875616011,0.0,0.5303153594520014,1,0.5303153594520014,6.103786882682161
-9.5578651737921e-05,-0.004280950244451897,-1.6244836311654902,-0.00412,42.3020753659342,-83.69749807221886,276.415283203125,0.99,0,0.2549983016739379,0.00028357571483751177,0.001,2.310130904892171,0.00029683864996312136,-0.0002845430184219384,8,5.867894120735339e-07,0.001460688221270427,0.04242522875616011,0.0,-0.5303153594520014,1,-0.5303153594520014,7.715117361297108
-9.5578651737921e-05,-0.004280950244451897,-1.6244836311654902,-0.00412,42.30207536235595,-83.69749807356213,276.4154968261719,0.99,0,0.2548588559758824,-0.004280950244451897,-0.00412,-1.6408939430285354,-0.004271501165271954,-9.5578651737921e-05,8,6.259622133210513e-06,0.001461839599454859,-0.04242522875616011,0.0,0.5303153594520014,1,0.5303153594520014,5.073796937694285
2.4236157623730267e-05,3.876702847298557e-05,-1.6245306311749417,0.0011500000000000002,42.302075363398934,-83.69749807239621,276.41571044921875,0.99,0,0.25480354712353004,-0.0008213255956146096,-0.0005200000000000001,-1.9616022763441796,-0.0008063771851702475,-0.00029332926760401685,8,1.2759153635138844e-06,0.0014629807999819906,0.04242522875616011,0.0,0.5303153594520014,1,0.5303153594520014,5.830066039473816
2.4236157623730267e-05,3.876702847298557e-05,-1.6245306311749417,0.0011500000000000002,42.30207536399578,-83.69749807184272,276.4158020019531,0.99,0,0.2547994286097667,3.876702847298557e-05,0.0011500000000000002,0.96424927174274,3.756412115235164e-05,2.4236157623730267e-05,8,6.687376937206746e-08,0.0014626964628309143,0.0,0.0,-0.5303153594520014,1,-0.5303153594520014,3.3959276426850806
-0.0002559176043003989,0.0020231828100509323,-1.6245026311581539,0.004070000000000001,42.302075364741405,-83.6974980714736,276.4158935546875,0.99,0,0.2548200029925846,-0.005408477548266346,-0.0043300000000000005,-1.7970782622667816,-0.005355646397114758,-0.0002559176043003989,8,8.037044761635485e-06,0.001462411480442624,-0.04242522875616011,0.0,0.5303153594520014,1,0.5303153594520014,5.385059354824982
